# STOCK_REPORT,csn_stock_MERGED.csv
# MARKET,amazonia,GC5GGLKUGY
owner,item,stock,buy_qty,buy_price,sell_qty,sell_price,lore,timestamp_iso
Jacob1304,Diamond Shovel,2,64,2550,64,,,2026-07-03T13:32:36.697139+00:00
Jacob1304,Diorite,3441,64,127,64,120,,2026-07-03T13:32:36.640259+00:00
Jacob1304,Dirt,3423,64,150,64,140,,2026-07-03T13:32:36.579455+00:00
Jacob1304,Dragon Breath,192,64,90,64,85,,2026-07-03T13:32:36.688465+00:00
Jacob1304,Dripstone Block,3456,64,320,64,300,,2026-07-03T13:32:36.625193+00:00
Jacob1304,Egg,456,64,35,64,20,,2026-07-03T13:32:36.693751+00:00
Jacob1304,Emerald,216,64,210,64,205,,2026-07-03T13:32:36.589138+00:00
Jacob1304,End Stone,0,64,173.8,64,145,,2026-07-03T13:32:36.647522+00:00
Jacob1304,Ender Pearl,68,64,150,64,120,,2026-07-03T13:32:36.597889+00:00
Jacob1304,Experience Bottle,3456,64,520,64,300,,2026-07-03T13:32:36.587293+00:00
Jacob1304,Feather,0,64,700,64,680,,2026-07-03T13:32:36.692906+00:00
Jacob1304,Fern,0,64,200,64,180,,2026-07-03T13:32:36.678736+00:00
Jacob1304,Fishing Rod,3,64,13500,64,,,2026-07-03T13:32:36.698087+00:00
Jacob1304,Flint,3328,64,78,64,72,,2026-07-03T13:32:36.647016+00:00
Jacob1304,Flowering Azalea,2909,64,320,64,310,,2026-07-03T13:32:36.679672+00:00
Jacob1304,Flowering Azalea Leaves,0,64,400,64,350,,2026-07-03T13:32:36.577184+00:00
Jacob1304,Ghast Tear,191,64,1000,64,900,,2026-07-03T13:32:36.598733+00:00
Jacob1304,Gilded Blackstone,277,64,200,64,150,,2026-07-03T13:32:36.641636+00:00
Jacob1304,Glass,3456,64,300,64,250,,2026-07-03T13:32:36.626311+00:00
Jacob1304,Glow Berries,0,64,76,64,72,,2026-07-03T13:32:36.688026+00:00
