# PERIOD,csn_export_2026-05-01.csv
actor,seller,verb,quantity,item,amount_coins,timestamp_iso
GlitchYOKO,Jacob1304,sold,2,Cooked Beef,-15.63,2026-05-30T05:45:03.947Z
GlitchYOKO,Jacob1304,sold,10,Leather,-70.31,2026-05-30T05:45:03.948Z
GlitchYOKO,Jacob1304,sold,64,Cooked Beef,-500,2026-05-30T05:45:03.948Z
GlitchYOKO,Jacob1304,sold,1,Redstone Block,-19.14,2026-05-30T05:45:03.948Z
CalebTheSecond,Jacob1304,sold,34,Light Blue Wool,-239.06,2026-05-30T05:41:03.949Z
CalebTheSecond,Jacob1304,sold,320,Light Blue Wool,-2250,2026-05-30T05:41:03.949Z
CalebTheSecond,Jacob1304,sold,52,Light Blue Wool,-365.63,2026-05-30T05:33:03.949Z
CalebTheSecond,Jacob1304,sold,576,Light Blue Wool,-4050,2026-05-30T05:33:03.949Z
Tamyrille,Jacob1304,bought,20,Diamond,1020,2026-05-30T04:05:03.950Z
Tamyrille,Jacob1304,sold,1,Glowstone,-25,2026-05-30T04:02:03.950Z
Tamyrille,Jacob1304,sold,11,Quartz Block,-68.92,2026-05-30T04:01:04.713Z
CalebTheSecond,Jacob1304,bought,2,Sponge,5000,2026-05-30T02:56:04.713Z
CalebTheSecond,Jacob1304,sold,4,Light Blue Wool,-28.13,2026-05-30T02:31:04.714Z
Kittsunas,Jacob1304,bought,256,Dark Oak Log,680,2026-05-30T01:08:04.714Z
MrSoap,Jacob1304,bought,30,Iron Ingot,825,2026-05-30T00:39:04.714Z
MrSoap,Jacob1304,sold,38,Apple,-798,2026-05-30T00:00:04.714Z
MrSoap,Jacob1304,bought,38,Apple,836,2026-05-30T00:00:04.714Z
MrSoap,Jacob1304,sold,20,Copper Block,-200,2026-05-29T23:55:04.714Z
Tamyrille,Jacob1304,bought,4,Sponge,10000,2026-05-29T23:29:04.714Z
MrSoap,Jacob1304,sold,7,Gold Ingot,-707,2026-05-29T23:07:04.714Z
MrSoap,Jacob1304,bought,5,Gold Ingot,510,2026-05-29T23:07:05.493Z
MrSoap,Jacob1304,sold,11,Hay Block,-154.69,2026-05-29T23:06:05.493Z
Kittsunas,Jacob1304,bought,36,Spruce Log,95.63,2026-05-29T22:53:05.493Z
Kittsunas,Jacob1304,bought,256,Spruce Log,680,2026-05-29T22:53:05.493Z
Kittsunas,Jacob1304,bought,64,Carrot,48,2026-05-29T22:47:05.493Z
Kittsunas,Jacob1304,bought,128,Spruce Log,340,2026-05-29T22:47:05.494Z
MrSoap,Jacob1304,sold,1,Name Tag,-25,2026-05-29T22:29:05.494Z
MrSoap,Jacob1304,bought,1,Name Tag,30,2026-05-29T22:29:05.494Z
MrSoap,Jacob1304,sold,11,Ink Sac,-330,2026-05-29T22:27:05.494Z
Kittsunas,Jacob1304,bought,192,Dirt,537,2026-05-29T21:53:05.494Z
Deft710,Jacob1304,bought,64,Lime Concrete Powder,110,2026-05-29T21:24:06.340Z
Deft710,Jacob1304,bought,64,Spruce Log,170,2026-05-29T21:24:06.341Z
MrSoap,Jacob1304,bought,5,String,7.81,2026-05-29T21:22:06.341Z
MrSoap,Jacob1304,bought,36,Iron Ingot,990,2026-05-29T21:21:06.341Z
MrSoap,Jacob1304,sold,9,Redstone Block,-172.27,2026-05-29T21:21:06.341Z
MrSoap,Jacob1304,bought,20,Redstone Block,390.62,2026-05-29T21:20:06.342Z
MrSoap,Jacob1304,sold,10,Redstone Block,-191.41,2026-05-29T21:20:06.342Z
MrSoap,Jacob1304,bought,64,Oak Log,220,2026-05-29T21:20:06.342Z
MrSoap,Jacob1304,sold,20,Iron Ingot,-530,2026-05-29T21:19:06.342Z
Kittsunas,Jacob1304,bought,10,Diamond,510,2026-05-29T21:18:06.342Z
MotixDiabolic,Jacob1304,bought,1536,Stone,2880,2026-05-29T21:17:07.187Z
MotixDiabolic,Jacob1304,sold,64,Cobblestone,-80,2026-05-29T21:17:07.188Z
MotixDiabolic,Jacob1304,bought,64,Cobblestone,85,2026-05-29T21:17:07.189Z
MrSoap,Jacob1304,sold,37,Redstone Block,-708.2,2026-05-29T21:16:07.189Z
MrSoap,Jacob1304,bought,37,Redstone Block,722.66,2026-05-29T21:16:07.190Z
Mertilizm,Jacob1304,bought,192,Baked Potato,192,2026-05-29T20:43:07.190Z
Kittsunas,Jacob1304,bought,64,Lantern,1950,2026-05-29T20:34:07.190Z
Kittsunas,Jacob1304,bought,64,White Wool,485,2026-05-29T20:34:07.190Z
Kittsunas,Jacob1304,bought,64,Spruce Leaves,155,2026-05-29T20:32:07.190Z
Deft710,Jacob1304,bought,64,Experience Bottle,475,2026-05-29T20:14:08.032Z
Deft710,Jacob1304,bought,64,Prismarine Bricks,750,2026-05-29T20:14:08.033Z
Kittsunas,Jacob1304,bought,60,Iron Ingot,1650,2026-05-29T20:09:08.034Z
Saliz10,Jacob1304,bought,58,Hay Block,906.25,2026-05-29T20:08:08.034Z
JKritical,Jacob1304,bought,10,Iron Ingot,275,2026-05-29T19:56:08.034Z
Deft710,Jacob1304,bought,10,Blaze Rod,580,2026-05-29T19:28:08.034Z
MotixDiabolic,Jacob1304,bought,62,Andesite,156.94,2026-05-29T19:26:08.034Z
MotixDiabolic,Jacob1304,bought,1472,Andesite,3726,2026-05-29T19:26:08.035Z
Frostcarp,Jacob1304,bought,15,Glowstone,450,2026-05-29T19:19:08.035Z
Frostcarp,Jacob1304,bought,20,Iron Ingot,550,2026-05-29T19:18:08.036Z
ciprilu28,Jacob1304,bought,64,Lantern,1950,2026-05-29T19:09:08.887Z
ciprilu28,Jacob1304,bought,64,Experience Bottle,475,2026-05-29T19:09:08.887Z
previseclient,Jacob1304,bought,64,Jungle Sapling,210,2026-05-29T18:35:08.887Z
previseclient,Jacob1304,bought,48,Cooked Beef,693.75,2026-05-29T18:35:08.887Z
Krispy_Wafflez,Jacob1304,bought,64,Yellow Concrete Powder,110,2026-05-29T17:54:08.887Z
AlarmingDoc,Jacob1304,sold,34,Quartz Block,-213.03,2026-05-29T17:22:08.888Z
AlarmingDoc,Jacob1304,sold,192,Quartz Block,-1203,2026-05-29T17:22:08.888Z
NavyCircle21209,Jacob1304,bought,1152,Honey Block,10800,2026-05-29T16:47:08.888Z
Szelumi,Jacob1304,bought,768,Cobbled Deepslate,720,2026-05-29T16:34:08.888Z
Szelumi,Jacob1304,bought,64,Deepslate Tiles,70,2026-05-29T16:31:08.888Z
Tylerhello,Jacob1304,sold,1,Emerald,-205,2026-05-29T16:24:09.672Z
Krispy_Wafflez,Jacob1304,bought,64,Soul Sand,249,2026-05-29T16:24:09.672Z
Budgegarus_,Jacob1304,sold,428,Experience Bottle,-2006.25,2026-05-29T15:48:09.672Z
Budgegarus_,Jacob1304,sold,128,Experience Bottle,-600,2026-05-29T15:24:09.672Z
gk2yt,Jacob1304,sold,64,Sweet Berries,-25,2026-05-29T15:10:09.673Z
gk2yt,Jacob1304,sold,58,Hay Block,-815.63,2026-05-29T15:10:09.673Z
MotixDiabolic,Jacob1304,bought,256,Glass,1200,2026-05-29T12:44:09.674Z
LeoVit_,Jacob1304,bought,64,Spruce Log,170,2026-05-29T12:09:09.674Z
LeoVit_,Jacob1304,bought,128,Experience Bottle,950,2026-05-29T12:08:09.674Z
Mertilizm,Jacob1304,bought,128,Tuff,300,2026-05-29T11:23:10.742Z
Mertilizm,Jacob1304,bought,128,Red Terracotta,350,2026-05-29T11:22:10.742Z
Mertilizm,Jacob1304,bought,384,Cobbled Deepslate,360,2026-05-29T11:21:10.742Z
CalebTheSecond,Jacob1304,sold,17,Lime Wool,-119.53,2026-05-29T10:54:10.743Z
CalebTheSecond,Jacob1304,sold,896,Lime Wool,-6300,2026-05-29T10:54:10.743Z
AlarmingDoc,Jacob1304,bought,8,Netherite Scrap,7600,2026-05-29T05:30:10.743Z
AlarmingDoc,Jacob1304,bought,10,Gold Ingot,1020,2026-05-29T05:30:10.743Z
amincrafttrex,Jacob1304,sold,128,Deepslate Tiles,-120,2026-05-29T04:49:10.743Z
amincrafttrex,Jacob1304,sold,1,Deepslate Tiles,-0.94,2026-05-29T04:45:10.743Z
amincrafttrex,Jacob1304,sold,2,Polished Deepslate,-1.88,2026-05-29T04:45:10.743Z
amincrafttrex,Jacob1304,sold,18,Diorite,-33.75,2026-05-29T04:45:11.768Z
amincrafttrex,Jacob1304,sold,11,Granite,-10.66,2026-05-29T04:45:11.769Z
amincrafttrex,Jacob1304,sold,24,Copper Block,-240,2026-05-29T04:43:11.769Z
amincrafttrex,Jacob1304,sold,31,Stone,-43.59,2026-05-29T03:59:11.769Z
Aqua455531,Jacob1304,bought,576,Glass,2700,2026-05-29T03:45:11.769Z
eminem_rondonia,Jacob1304,sold,400,Experience Bottle,-1875,2026-05-29T03:10:11.769Z
MrSoap,Jacob1304,sold,128,Baked Potato,-120,2026-05-29T02:44:11.769Z
MrSoap,Jacob1304,bought,64,Baked Potato,64,2026-05-29T02:44:11.769Z
amincrafttrex,Jacob1304,sold,2,Jungle Log,-7.03,2026-05-29T02:41:11.769Z
amincrafttrex,Jacob1304,sold,192,Jungle Log,-675,2026-05-29T02:41:11.769Z
IvyLeagueCollage,Jacob1304,bought,1344,Experience Bottle,9975,2026-05-29T02:40:12.699Z
IvyLeagueCollage,Jacob1304,bought,2,Experience Bottle,14.84,2026-05-29T02:38:12.699Z
IvyLeagueCollage,Jacob1304,sold,128,Copper Block,-1280,2026-05-29T02:37:12.699Z
IvyLeagueCollage,Jacob1304,bought,128,Copper Block,1300,2026-05-29T02:37:12.699Z
Dominic_Graykey,Jacob1304,sold,3456,Honeycomb Block,-10800,2026-05-29T02:36:12.699Z
amincrafttrex,Jacob1304,sold,157,Iron Ingot,-4160.5,2026-05-29T02:35:12.699Z
eminem_rondonia,Jacob1304,sold,51,Oak Log,-171.33,2026-05-29T02:31:12.699Z
eminem_rondonia,Jacob1304,sold,1152,Oak Log,-3870,2026-05-29T02:31:12.700Z
amincrafttrex,Jacob1304,sold,343,Iron Ingot,-9089.5,2026-05-29T02:29:12.700Z
amincrafttrex,Jacob1304,bought,145,Iron Ingot,3987.5,2026-05-29T02:29:12.700Z
amincrafttrex,Jacob1304,sold,45,Iron Ingot,-1192.5,2026-05-29T02:24:13.542Z
Aqua455531,Jacob1304,bought,30,Diamond,1530,2026-05-29T02:20:13.542Z
Silonnz,Jacob1304,bought,1984,Feather,21700,2026-05-29T02:18:13.542Z
Cloudy4life,Jacob1304,bought,250,Iron Ingot,6875,2026-05-29T02:11:13.542Z
PVT_PYLE5h13t,Jacob1304,sold,10,Gunpowder,-900,2026-05-29T01:56:13.542Z
PVT_PYLE5h13t,Jacob1304,sold,18,Ender Pearl,-2160,2026-05-29T01:56:13.542Z
PVT_PYLE5h13t,Jacob1304,sold,48,Cooked Beef,-375,2026-05-29T01:54:13.543Z
PVT_PYLE5h13t,Jacob1304,sold,64,Bone Block,-400,2026-05-29T01:54:13.543Z
PVT_PYLE5h13t,Jacob1304,sold,15,Shroomlight,-795,2026-05-29T01:53:13.543Z
PVT_PYLE5h13t,Jacob1304,sold,192,Red Nether Bricks,-1050,2026-05-29T01:52:13.543Z
PVT_PYLE5h13t,Jacob1304,sold,1,Ancient Debris,-1650,2026-05-29T01:52:14.338Z
Diwky,Jacob1304,sold,575,Sugar Cane,-575,2026-05-29T00:57:14.338Z
NavyCircle21209,Jacob1304,bought,64,Clay,260,2026-05-29T00:50:14.338Z
Matrix7200,Jacob1304,sold,5,Dragon Breath,-425,2026-05-29T00:31:14.339Z
